Customer ID,Recency,Frequency,Monetary,Cluster,Segment
12413,67,4,999.45,1,At-Risk Customers
12414,217,6,952.41,1,At-Risk Customers
12415,24,28,144458.37,0,Champions
12416,657,1,202.56,4,Dormant Customers
12417,3,20,6797.41,0,Champions
12418,113,4,2021.2,1,At-Risk Customers
12419,386,2,503.01,4,Dormant Customers
12420,64,1,600.39,3,New / Developing Customers
12421,16,6,1098.6,2,Loyal Customers
12422,96,17,5231.8,2,Loyal Customers
12423,1,10,2622.39,2,Loyal Customers
12424,163,4,3340.03,1,At-Risk Customers
12425,78,2,1741.41,1,At-Risk Customers
12426,195,2,1345.21,1,At-Risk Customers
12427,22,3,825.8,3,New / Developing Customers
12428,26,9,7956.46,2,Loyal Customers
12429,9,8,6204.41,2,Loyal Customers
12430,43,1,256.4,3,New / Developing Customers
12431,36,27,10432.22,0,Champions
12432,43,5,5059.32,2,Loyal Customers
12433,1,10,16794.14,0,Champions
12434,85,3,1103.43,1,At-Risk Customers
12435,80,6,13925.93,2,Loyal Customers
12436,100,1,509.01,4,Dormant Customers
12437,2,39,12683.4,0,Champions
12438,14,2,2906.85,3,New / Developing Customers
12439,683,2,1142.88,1,At-Risk Customers
12440,462,2,859.2,1,At-Risk Customers
12441,367,1,173.55,4,Dormant Customers
12442,3,1,172.06,3,New / Developing Customers
12443,732,1,485.31,4,Dormant Customers
12444,21,5,5005.46,2,Loyal Customers
12445,22,2,434.98,3,New / Developing Customers
12446,58,1,1002.3100000000001,3,New / Developing Customers
12447,243,1,476.49,4,Dormant Customers
12448,44,1,449.45,3,New / Developing Customers
12449,22,6,4835.89,2,Loyal Customers
12450,156,5,688.2,1,At-Risk Customers
12451,11,8,12669.88,2,Loyal Customers
12452,17,2,430.57,3,New / Developing Customers
12453,134,1,707.09,4,Dormant Customers
12454,56,5,16679.78,2,Loyal Customers
12455,73,10,5879.95,2,Loyal Customers
12456,44,3,3181.04,2,Loyal Customers
12457,66,8,2995.91,2,Loyal Customers
12458,71,4,1777.49,1,At-Risk Customers
12459,605,1,454.36,4,Dormant Customers
12460,456,1,326.65,4,Dormant Customers
12461,94,2,826.88,1,At-Risk Customers
12462,19,2,1189.59,3,New / Developing Customers
12463,53,4,1344.78,3,New / Developing Customers
12464,10,8,1212.05,2,Loyal Customers
12465,17,2,742.1899999999999,3,New / Developing Customers
12466,682,1,56.73,4,Dormant Customers
12467,423,1,132.8,4,Dormant Customers
12468,188,5,3670.74,1,At-Risk Customers
12469,523,2,3070.54,1,At-Risk Customers
12470,690,1,211.95,4,Dormant Customers
12471,2,79,39918.19,0,Champions
12472,32,19,16249.289999999999,0,Champions
12473,29,5,3928.0499999999997,2,Loyal Customers
12474,17,31,12372.75,0,Champions
12475,54,2,1149.64,3,New / Developing Customers
12476,16,23,14083.91,0,Champions
12477,23,9,20276.37,2,Loyal Customers
12478,4,1,680.99,3,New / Developing Customers
12479,11,1,527.2,3,New / Developing Customers
12480,28,7,5464.85,2,Loyal Customers
12481,23,15,12185.51,0,Champions
12482,576,29,23691.4,0,Champions
12483,17,19,5097.18,0,Champions
12484,33,12,6354.1,2,Loyal Customers
12485,529,1,708.1,4,Dormant Customers
12486,432,1,1037.28,1,At-Risk Customers
12487,731,1,285.29999999999995,4,Dormant Customers
12488,10,3,1298.66,3,New / Developing Customers
12489,336,1,334.93,4,Dormant Customers
12490,5,21,9823.64,0,Champions
12491,39,1,460.40000000000003,3,New / Developing Customers
12492,63,3,715.21,3,New / Developing Customers
12493,166,2,433.74,4,Dormant Customers
12494,16,9,1815.27,2,Loyal Customers
12495,641,1,357.4,4,Dormant Customers
12496,620,2,45.34,4,Dormant Customers
12497,82,3,6248.5,2,Loyal Customers
12498,21,3,403.70000000000005,3,New / Developing Customers
12499,560,1,393.72,4,Dormant Customers
12500,23,19,5955.21,0,Champions
12501,337,1,2169.39,1,At-Risk Customers
12502,96,5,3723.87,2,Loyal Customers
12503,584,1,1126.0,1,At-Risk Customers
12504,18,4,779.05,3,New / Developing Customers
12505,409,1,955.2,1,At-Risk Customers
12506,233,1,73.5,4,Dormant Customers
12507,134,4,1844.06,1,At-Risk Customers
12508,26,2,397.88,3,New / Developing Customers
12509,284,1,176.5,4,Dormant Customers
12510,143,9,5178.02,2,Loyal Customers
12511,429,1,3084.02,1,At-Risk Customers
12512,66,2,132.18,4,Dormant Customers
12513,113,1,612.29,4,Dormant Customers
12514,267,2,1597.76,1,At-Risk Customers
12515,353,1,383.7,4,Dormant Customers
12516,78,4,2648.62,1,At-Risk Customers
12517,28,5,2481.6,2,Loyal Customers
12518,1,5,2056.89,2,Loyal Customers
12519,64,2,716.54,3,New / Developing Customers
12520,79,5,2634.26,2,Loyal Customers
12521,143,1,599.68,4,Dormant Customers
12522,39,2,192.72,3,New / Developing Customers
12523,19,23,4352.35,0,Champions
12524,9,17,11126.11,0,Champions
12525,498,3,973.73,1,At-Risk Customers
12526,1,3,1316.66,3,New / Developing Customers
12527,82,5,735.51,1,At-Risk Customers
12528,9,6,1933.48,2,Loyal Customers
12529,528,1,316.48,4,Dormant Customers
12530,60,9,3759.26,2,Loyal Customers
12531,15,2,1933.2,3,New / Developing Customers
12532,30,1,349.83000000000004,3,New / Developing Customers
12533,628,2,1367.89,1,At-Risk Customers
12534,131,1,1089.18,1,At-Risk Customers
12535,92,2,716.35,1,At-Risk Customers
12536,43,3,12601.830000000002,2,Loyal Customers
12537,409,1,732.94,4,Dormant Customers
12538,29,2,640.45,3,New / Developing Customers
12539,22,7,11214.75,2,Loyal Customers
12540,20,33,22254.49,0,Champions
12541,30,3,981.18,3,New / Developing Customers
12542,484,2,481.88,4,Dormant Customers
12543,448,1,980.25,1,At-Risk Customers
12544,36,1,372.7,3,New / Developing Customers
12545,75,2,1000.39,3,New / Developing Customers
12546,47,2,1161.5,3,New / Developing Customers
12547,198,3,383.58,1,At-Risk Customers
12548,166,1,95.19999999999999,4,Dormant Customers
12549,576,6,1575.68,1,At-Risk Customers
12550,79,1,964.83,3,New / Developing Customers
12551,358,1,168.0,4,Dormant Customers
12552,39,2,437.82,3,New / Developing Customers
12553,8,12,4608.75,2,Loyal Customers
12554,449,1,468.5,4,Dormant Customers
12555,682,1,129.23,4,Dormant Customers
12556,50,2,599.56,3,New / Developing Customers
12557,16,8,18096.14,2,Loyal Customers
12558,8,1,269.96,3,New / Developing Customers
12559,311,2,561.71,1,At-Risk Customers
12560,5,3,2134.01,3,New / Developing Customers
12561,303,1,238.85,4,Dormant Customers
12562,8,9,4966.92,2,Loyal Customers
12563,409,1,249.24,4,Dormant Customers
12564,261,1,456.9,4,Dormant Customers
12565,289,1,145.92,4,Dormant Customers
12566,86,1,351.65,4,Dormant Customers
12567,23,15,11767.48,0,Champions
12568,645,1,70.0,4,Dormant Customers
12569,2,32,4124.69,0,Champions
12570,682,1,77.52,4,Dormant Customers
12571,40,2,519.61,3,New / Developing Customers
12572,9,2,1020.42,3,New / Developing Customers
12573,227,5,717.41,1,At-Risk Customers
12574,316,1,218.45,4,Dormant Customers
12575,457,2,622.8199999999999,1,At-Risk Customers
12576,36,8,2142.72,2,Loyal Customers
12577,35,8,1617.1,2,Loyal Customers
12578,21,4,4642.45,2,Loyal Customers
12579,78,1,440.42,3,New / Developing Customers
12580,247,2,1052.9,1,At-Risk Customers
12581,40,1,197.71,3,New / Developing Customers
12582,239,4,1980.4,1,At-Risk Customers
12583,3,27,13591.58,0,Champions
12584,4,9,2338.15,2,Loyal Customers
12585,234,2,2040.1,1,At-Risk Customers
12586,17,4,2062.67,2,Loyal Customers
12587,8,1,144.0,3,New / Developing Customers
12588,39,4,958.78,3,New / Developing Customers
12589,29,8,4695.66,2,Loyal Customers
12590,211,2,9864.26,1,At-Risk Customers
12591,317,3,1338.95,1,At-Risk Customers
12592,92,5,2582.66,2,Loyal Customers
12593,109,3,418.09999999999997,1,At-Risk Customers
12594,38,15,5090.110000000001,2,Loyal Customers
12595,505,1,299.02,4,Dormant Customers
12596,51,2,618.27,3,New / Developing Customers
12597,19,4,3811.22,2,Loyal Customers
12598,10,11,4534.09,2,Loyal Customers
12599,29,13,2296.72,2,Loyal Customers
12600,29,21,4967.42,0,Champions
12601,190,6,681.26,1,At-Risk Customers
12602,59,1,153.12,4,Dormant Customers
12603,22,1,739.1999999999999,3,New / Developing Customers
12604,79,2,254.18,3,New / Developing Customers
12605,376,4,1232.95,1,At-Risk Customers
12606,682,1,21.0,4,Dormant Customers
12607,60,1,1579.51,3,New / Developing Customers
12608,405,1,415.79,4,Dormant Customers
12609,78,9,3435.86,2,Loyal Customers
12610,23,5,2099.54,2,Loyal Customers
12611,52,1,1193.32,3,New / Developing Customers
12612,74,1,704.0400000000001,3,New / Developing Customers
12613,57,10,6817.37,2,Loyal Customers
12614,278,1,315.6,4,Dormant Customers
12615,2,8,5740.98,2,Loyal Customers
12616,95,3,1131.1,1,At-Risk Customers
12617,29,1,352.98,3,New / Developing Customers
12618,22,1,177.31,3,New / Developing Customers
12619,16,10,3781.38,2,Loyal Customers
12620,15,3,1339.41,3,New / Developing Customers
12621,2,35,24311.2,0,Champions
12622,232,1,180.1,4,Dormant Customers
12623,276,7,3747.84,1,At-Risk Customers
12624,106,2,641.13,1,At-Risk Customers
12625,212,4,5164.88,1,At-Risk Customers
12626,23,9,6620.48,2,Loyal Customers
12627,11,7,4478.53,2,Loyal Customers
12628,4,3,786.46,3,New / Developing Customers
12629,386,2,1558.22,1,At-Risk Customers
12630,10,2,1270.88,3,New / Developing Customers
12631,57,6,3481.57,2,Loyal Customers
12632,521,2,804.88,1,At-Risk Customers
12633,59,7,5678.16,2,Loyal Customers
12634,536,2,490.0,4,Dormant Customers
12635,90,4,2930.41,1,At-Risk Customers
12636,739,1,141.0,4,Dormant Customers
12637,67,12,8283.81,2,Loyal Customers
12638,33,2,921.49,3,New / Developing Customers
12639,239,3,1312.37,1,At-Risk Customers
12640,24,3,1174.58,3,New / Developing Customers
12641,115,1,185.9,4,Dormant Customers
12642,25,3,1013.26,3,New / Developing Customers
12643,128,12,8304.82,2,Loyal Customers
12644,130,4,1918.49,1,At-Risk Customers
12645,34,8,3539.3,2,Loyal Customers
12646,5,2,1346.97,3,New / Developing Customers
12647,22,36,16955.55,0,Champions
12648,155,4,1112.0,1,At-Risk Customers
12649,107,8,2294.65,2,Loyal Customers
12650,3,1,314.44,3,New / Developing Customers
12651,335,4,377.75,1,At-Risk Customers
12652,331,2,1017.03,1,At-Risk Customers
12653,149,3,4160.83,1,At-Risk Customers
12654,11,5,601.98,3,New / Developing Customers
12655,424,1,261.35,4,Dormant Customers
12656,17,8,6407.83,2,Loyal Customers
12657,11,4,1643.18,3,New / Developing Customers
12658,19,1,686.05,3,New / Developing Customers
12659,30,1,91.68,3,New / Developing Customers
12660,11,1,245.1,3,New / Developing Customers
12661,436,1,162.0,4,Dormant Customers
12662,1,20,6726.54,0,Champions
12663,625,2,239.4,4,Dormant Customers
12664,8,11,6070.04,2,Loyal Customers
12665,325,3,313.6,4,Dormant Customers
12666,394,1,1248.42,1,At-Risk Customers
12667,58,1,620.13,3,New / Developing Customers
12668,12,10,11383.03,2,Loyal Customers
12669,151,3,2744.0299999999997,1,At-Risk Customers
12670,10,7,3760.29,2,Loyal Customers
12671,606,1,2622.481,1,At-Risk Customers
12672,330,2,437.05,4,Dormant Customers
12673,5,3,1230.02,3,New / Developing Customers
12674,39,4,1970.6,2,Loyal Customers
12675,554,2,957.25,1,At-Risk Customers
12676,25,11,2843.09,2,Loyal Customers
12677,555,2,395.1,4,Dormant Customers
12678,42,21,34281.18,0,Champions
12679,59,4,1113.02,3,New / Developing Customers
12680,1,4,880.81,3,New / Developing Customers
12681,15,45,29834.76,0,Champions
12682,4,52,22950.22,0,Champions
12683,4,21,11633.7,0,Champions
12684,8,7,2283.63,2,Loyal Customers
12685,28,6,2863.08,2,Loyal Customers
12686,372,1,89.14,4,Dormant Customers
12687,481,2,2138.91,1,At-Risk Customers
12688,114,1,4873.8099999999995,1,At-Risk Customers
12689,26,2,1247.61,3,New / Developing Customers
12690,206,1,389.01,4,Dormant Customers
12691,28,7,1170.4,2,Loyal Customers
12692,637,1,110.95,4,Dormant Customers
12693,127,7,1703.02,1,At-Risk Customers
12694,70,3,1843.35,1,At-Risk Customers
12695,7,7,1407.1200000000001,2,Loyal Customers
12696,435,2,851.91,1,At-Risk Customers
12697,29,3,957.59,3,New / Developing Customers
12698,590,1,339.75,4,Dormant Customers
12699,418,1,638.11,4,Dormant Customers
12700,8,4,4939.99,2,Loyal Customers
12701,80,6,2446.41,2,Loyal Customers
12702,20,1,219.0,3,New / Developing Customers
12703,71,4,1006.53,1,At-Risk Customers
12704,7,8,2340.84,2,Loyal Customers
12705,15,14,11762.1,0,Champions
12707,292,1,603.42,4,Dormant Customers
12708,30,18,5117.66,2,Loyal Customers
12709,15,34,30291.76,0,Champions
12710,97,3,1149.02,1,At-Risk Customers
12711,612,2,1339.05,1,At-Risk Customers
12712,29,21,6723.03,0,Champions
12713,1,1,848.55,3,New / Developing Customers
12714,9,12,14093.71,0,Champions
12715,106,1,343.36,4,Dormant Customers
12716,4,2,1053.49,3,New / Developing Customers
12717,151,3,1308.91,1,At-Risk Customers
12718,71,1,238.25,4,Dormant Customers
12719,5,2,644.95,3,New / Developing Customers
12720,3,30,7787.28,0,Champions
12721,32,8,4013.08,2,Loyal Customers
12722,85,4,997.63,1,At-Risk Customers
12723,4,5,725.07,3,New / Developing Customers
12724,5,7,2317.52,2,Loyal Customers
12725,371,4,2266.76,1,At-Risk Customers
12726,28,11,4014.6,2,Loyal Customers
12727,11,10,5679.53,2,Loyal Customers
12728,71,5,1070.17,1,At-Risk Customers
12729,114,1,453.01,4,Dormant Customers
12730,522,1,829.25,4,Dormant Customers
12731,24,17,25775.71,0,Champions
12732,180,1,236.26000000000002,4,Dormant Customers
12733,234,4,2424.87,1,At-Risk Customers
12734,353,3,639.65,1,At-Risk Customers
12735,315,2,779.5699999999999,1,At-Risk Customers
12736,333,1,234.0,4,Dormant Customers
12737,499,2,3710.5,1,At-Risk Customers
12738,372,1,155.35,4,Dormant Customers
12739,78,4,2726.73,2,Loyal Customers
12740,64,1,427.6,3,New / Developing Customers
12741,529,2,406.07,4,Dormant Customers
12742,626,1,1201.52,1,At-Risk Customers
12743,134,2,540.13,1,At-Risk Customers
12744,52,11,25317.06,2,Loyal Customers
12745,487,3,925.41,1,At-Risk Customers
12746,541,1,254.55,4,Dormant Customers
12747,2,26,8898.48,0,Champions
12748,1,336,53539.64,0,Champions
12749,4,9,6897.36,2,Loyal Customers
12750,129,1,275.88,4,Dormant Customers
12751,445,1,268.27,4,Dormant Customers
12752,81,1,4366.78,1,At-Risk Customers
12753,23,6,21429.39,2,Loyal Customers
12754,236,3,3010.74,1,At-Risk Customers
12755,281,11,5236.259999999999,2,Loyal Customers
12756,87,1,112.07999999999998,4,Dormant Customers
12757,16,13,7834.650000000001,2,Loyal Customers
12758,117,7,9903.24,2,Loyal Customers
12759,52,8,5020.74,2,Loyal Customers
12760,456,1,347.8,4,Dormant Customers
12761,458,2,782.95,1,At-Risk Customers
12762,8,2,1898.52,3,New / Developing Customers
12763,138,2,494.08,1,At-Risk Customers
12764,317,1,1693.88,1,At-Risk Customers
12765,472,6,1404.58,1,At-Risk Customers
12766,4,9,8918.99,0,Champions
12767,376,1,949.82,1,At-Risk Customers
12768,451,1,168.69000000000003,4,Dormant Customers
12769,239,1,1143.6,1,At-Risk Customers
12770,211,2,3246.45,1,At-Risk Customers
12771,486,1,282.3,4,Dormant Customers
12772,60,1,892.47,3,New / Developing Customers
12773,564,1,124.25,4,Dormant Customers
12774,536,1,98.7,4,Dormant Customers
12775,17,7,1686.12,2,Loyal Customers
12776,668,1,55.5,4,Dormant Customers
12777,458,1,519.45,4,Dormant Customers
12778,20,9,1775.68,2,Loyal Customers
12779,38,14,6474.11,2,Loyal Customers
12780,599,1,337.4,4,Dormant Customers
12781,64,2,826.74,3,New / Developing Customers
12782,5,11,4618.24,2,Loyal Customers
12783,2,6,2225.91,2,Loyal Customers
12784,9,3,1763.15,3,New / Developing Customers
12785,364,3,1100.4,1,At-Risk Customers
12786,610,1,728.5,4,Dormant Customers
12787,10,4,862.18,3,New / Developing Customers
12788,463,4,444.9,1,At-Risk Customers
12789,65,3,273.35,3,New / Developing Customers
12790,192,2,591.85,1,At-Risk Customers
12791,374,6,863.51,1,At-Risk Customers
12792,257,2,827.01,1,At-Risk Customers
12793,335,3,885.53,1,At-Risk Customers
12794,53,2,860.41,3,New / Developing Customers
12795,19,1,430.48,3,New / Developing Customers
12796,628,1,381.0,4,Dormant Customers
12797,366,2,552.08,1,At-Risk Customers
12798,10,4,8510.93,2,Loyal Customers
12799,529,1,219.35,4,Dormant Customers
12800,470,3,584.25,1,At-Risk Customers
12801,501,1,1071.82,1,At-Risk Customers
12802,187,7,2416.42,1,At-Risk Customers
12803,393,1,1092.81,1,At-Risk Customers
12804,466,2,325.37,4,Dormant Customers
12805,382,4,1434.95,1,At-Risk Customers
12806,435,4,2878.96,1,At-Risk Customers
12807,383,1,330.35,4,Dormant Customers
12808,37,5,776.7,3,New / Developing Customers
12809,178,3,1755.94,1,At-Risk Customers
12810,535,2,534.99,4,Dormant Customers
12811,261,5,1033.9,1,At-Risk Customers
12812,45,1,229.64000000000001,3,New / Developing Customers
12813,502,3,1687.8,1,At-Risk Customers
12814,102,1,125.92,4,Dormant Customers
12815,148,2,1063.46,1,At-Risk Customers
12816,96,2,572.2,3,New / Developing Customers
12817,281,3,690.98,1,At-Risk Customers
12818,262,1,1542.08,1,At-Risk Customers
12819,458,1,540.52,4,Dormant Customers
12820,3,11,2689.52,2,Loyal Customers
12821,214,2,220.8,4,Dormant Customers
12822,71,2,948.88,3,New / Developing Customers
12823,75,18,6501.5,2,Loyal Customers
12824,60,1,397.12,3,New / Developing Customers
12825,521,2,518.63,4,Dormant Customers
12826,3,12,2800.75,2,Loyal Customers
12827,6,3,430.15000000000003,3,New / Developing Customers
12828,3,6,1018.71,3,New / Developing Customers
12829,337,3,385.3,1,At-Risk Customers
12830,38,6,6814.64,2,Loyal Customers
12831,262,3,451.11,1,At-Risk Customers
12832,32,2,383.03,3,New / Developing Customers
12833,145,1,417.38,4,Dormant Customers
12834,283,1,312.38,4,Dormant Customers
12835,428,41,5996.83,2,Loyal Customers
12836,59,15,6559.7300000000005,2,Loyal Customers
12837,173,2,662.66,1,At-Risk Customers
12838,34,10,2975.91,2,Loyal Customers
12839,3,26,9669.12,0,Champions
12840,144,7,4041.97,2,Loyal Customers
12841,5,40,6958.2,0,Champions
12842,70,4,1917.99,1,At-Risk Customers
12843,66,30,6583.36,0,Champions
12844,29,4,648.6,3,New / Developing Customers
12845,267,4,354.09,1,At-Risk Customers
12846,682,1,15.58,4,Dormant Customers
12847,22,2,1609.0,3,New / Developing Customers
12848,676,1,208.0,4,Dormant Customers
12849,31,6,3042.47,2,Loyal Customers
12850,446,1,330.0,4,Dormant Customers
12851,97,2,280.76,4,Dormant Customers
12852,295,1,311.55,4,Dormant Customers
12853,135,11,3907.5,2,Loyal Customers
12854,79,7,2970.9700000000003,2,Loyal Customers
12855,373,4,612.84,1,At-Risk Customers
12856,8,6,2170.78,2,Loyal Customers
12857,211,6,3688.0,1,At-Risk Customers
12858,383,1,147.27,4,Dormant Customers
12859,459,1,575.1,4,Dormant Customers
12860,693,1,54.22,4,Dormant Customers
12861,620,1,68.25,4,Dormant Customers
12862,426,2,984.62,1,At-Risk Customers
12863,52,6,2792.5499999999997,2,Loyal Customers
12864,138,2,299.57,4,Dormant Customers
12865,26,4,3323.47,2,Loyal Customers
12866,283,3,1227.35,1,At-Risk Customers
12867,26,13,7829.26,2,Loyal Customers
12868,186,8,2043.76,1,At-Risk Customers
12869,682,1,337.66999999999996,4,Dormant Customers
12870,375,3,1676.95,1,At-Risk Customers
12871,84,3,744.02,1,At-Risk Customers
12872,327,12,3283.96,1,At-Risk Customers
12873,282,3,2027.3,1,At-Risk Customers
12874,385,2,948.42,1,At-Risk Customers
12875,143,5,1356.99,1,At-Risk Customers
12876,58,4,4081.79,2,Loyal Customers
12877,4,20,2942.14,0,Champions
12878,236,2,854.99,1,At-Risk Customers
12879,45,3,573.22,3,New / Developing Customers
12880,382,2,640.13,1,At-Risk Customers
12881,276,1,298.0,4,Dormant Customers
12882,9,2,1463.04,3,New / Developing Customers
12883,25,4,703.47,3,New / Developing Customers
12884,88,1,309.05,4,Dormant Customers
12885,63,3,1175.22,3,New / Developing Customers
12886,68,2,1378.4,3,New / Developing Customers
12887,384,1,222.4,4,Dormant Customers
12888,214,2,354.12,4,Dormant Customers
12889,381,4,385.46000000000004,1,At-Risk Customers
12890,24,2,706.02,3,New / Developing Customers
12891,186,11,840.5,1,At-Risk Customers
12892,397,1,263.38,4,Dormant Customers
12893,31,1,176.55,3,New / Developing Customers
12894,575,1,157.35,4,Dormant Customers
12895,42,2,372.8,3,New / Developing Customers
12897,205,4,514.25,1,At-Risk Customers
12898,464,2,296.21000000000004,4,Dormant Customers
12899,414,1,366.4,4,Dormant Customers
12900,422,1,340.33,4,Dormant Customers
12901,9,28,17654.54,0,Champions
12902,265,1,138.68,4,Dormant Customers
12903,429,1,833.53,4,Dormant Customers
12904,18,2,496.06,3,New / Developing Customers
12905,577,2,1018.42,1,At-Risk Customers
12906,12,5,2919.81,2,Loyal Customers
12907,396,2,508.91,4,Dormant Customers
12908,176,5,1776.0,1,At-Risk Customers
12909,40,8,3103.19,2,Loyal Customers
12910,23,13,5796.52,2,Loyal Customers
12911,552,1,1651.72,1,At-Risk Customers
12912,3,5,1662.3,2,Loyal Customers
12913,5,13,6283.24,0,Champions
12914,401,1,223.98,4,Dormant Customers
12915,149,4,975.1,1,At-Risk Customers
12916,139,7,4479.73,2,Loyal Customers
12917,128,6,4359.2,2,Loyal Customers
12918,626,1,10953.5,1,At-Risk Customers
12919,8,6,1335.19,2,Loyal Customers
12920,17,4,486.64,3,New / Developing Customers
12921,9,74,35233.24,0,Champions
12922,161,1,405.38,4,Dormant Customers
12923,64,3,770.42,3,New / Developing Customers
12924,88,12,2469.4,2,Loyal Customers
12925,5,3,729.3299999999999,3,New / Developing Customers
12926,411,4,1523.97,1,At-Risk Customers
12927,395,1,197.31,4,Dormant Customers
12928,35,12,4304.89,2,Loyal Customers
12929,312,1,117.85,4,Dormant Customers
12930,78,2,415.8,3,New / Developing Customers
12931,22,57,92347.34,0,Champions
12932,539,8,1698.56,1,At-Risk Customers
12933,24,8,1636.6299999999999,2,Loyal Customers
12934,737,1,181.65,4,Dormant Customers
12935,2,15,4243.86,0,Champions
12936,17,4,1063.9,3,New / Developing Customers
12937,15,9,3097.61,2,Loyal Customers
12938,26,1,114.14,3,New / Developing Customers
12939,64,20,25264.8,0,Champions
12940,55,2,899.69,3,New / Developing Customers
12941,724,1,377.49,4,Dormant Customers
12942,131,3,675.6,1,At-Risk Customers
12943,558,2,496.5,4,Dormant Customers
12944,36,2,604.51,3,New / Developing Customers
12945,288,2,900.11,1,At-Risk Customers
12946,437,1,324.45,4,Dormant Customers
12947,144,6,1603.99,1,At-Risk Customers
12948,16,9,2317.43,2,Loyal Customers
12949,31,22,15526.7,0,Champions
12950,2,3,1843.0,3,New / Developing Customers
12951,9,15,3213.7200000000003,2,Loyal Customers
12952,6,4,1387.79,3,New / Developing Customers
12953,10,2,828.8100000000001,3,New / Developing Customers
12954,639,1,162.45,4,Dormant Customers
12955,1,11,4757.16,0,Champions
12956,306,4,521.89,1,At-Risk Customers
12957,10,13,8706.97,0,Champions
12958,400,2,467.34,4,Dormant Customers
12959,484,1,150.95,4,Dormant Customers
12960,414,4,1322.07,1,At-Risk Customers
12961,379,1,211.99,4,Dormant Customers
12962,7,2,266.39,3,New / Developing Customers
12963,8,12,3235.79,2,Loyal Customers
12964,437,1,132.24,4,Dormant Customers
12965,89,1,769.8100000000001,3,New / Developing Customers
12966,10,1,160.18,3,New / Developing Customers
12967,358,3,2938.52,1,At-Risk Customers
12968,112,1,135.95,4,Dormant Customers
12969,603,1,122.45,4,Dormant Customers
12970,7,10,1453.6,2,Loyal Customers
12971,4,116,15704.6,0,Champions
12972,414,4,1161.2,1,At-Risk Customers
12973,414,1,385.55,4,Dormant Customers
12974,198,2,408.95,4,Dormant Customers
12975,437,6,2100.09,1,At-Risk Customers
12976,212,8,3156.38,1,At-Risk Customers
12977,156,4,513.88,1,At-Risk Customers
12978,385,5,2502.82,1,At-Risk Customers
12979,729,1,517.7,4,Dormant Customers
12980,158,21,16245.78,0,Champions
12981,30,2,372.21999999999997,3,New / Developing Customers
12982,243,8,2744.81,1,At-Risk Customers
12983,598,1,490.08000000000004,4,Dormant Customers
